danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name,artist,month,revenue,position
0.734,0.58,9,-6.619,0,0.0321,0.238,0.0006,0.0298,0.962,119.336,audio_features,1Hv1VTm8zeOeybub15mA2R,spotify:track:1Hv1VTm8zeOeybub15mA2R,https://api.spotify.com/v1/tracks/1Hv1VTm8zeOeybub15mA2R,https://api.spotify.com/v1/audio-analysis/1Hv1VTm8zeOeybub15mA2R,258693,4,Smooth,Rob Thomas & Santana,Jan 2000,3911.953,1
0.754,0.819,0,-6.833,1,0.112,0.0684,0,0.345,0.818,142.137,audio_features,5bGmuxShUba9maPswDnhCs,spotify:track:5bGmuxShUba9maPswDnhCs,https://api.spotify.com/v1/tracks/5bGmuxShUba9maPswDnhCs,https://api.spotify.com/v1/audio-analysis/5bGmuxShUba9maPswDnhCs,215800,4,What A Girl Wants,Christina Aguilera,Jan 2000,3787.015,2
0.61,0.497,9,-9.88,1,0.0279,0.32,6.11e-05,0.0884,0.739,85.031,audio_features,6nozDLxeL0TE4MS9GqYU1v,spotify:track:6nozDLxeL0TE4MS9GqYU1v,https://api.spotify.com/v1/tracks/6nozDLxeL0TE4MS9GqYU1v,https://api.spotify.com/v1/audio-analysis/6nozDLxeL0TE4MS9GqYU1v,250360,4,I Knew I Loved You,Savage Garden,Jan 2000,3693.844,3
0.634,0.886,9,-5.424,1,0.0434,0.154,0,0.118,0.577,93.04,audio_features,5s4catxeZsaWFnOrvrXZHf,spotify:track:5s4catxeZsaWFnOrvrXZHf,https://api.spotify.com/v1/tracks/5s4catxeZsaWFnOrvrXZHf,https://api.spotify.com/v1/audio-analysis/5s4catxeZsaWFnOrvrXZHf,241373,4,That's The Way It Is,Celine Dion,Jan 2000,3341.488,4
0.822,0.969,7,-11.471,0,0.0582,0.259,0.000153,0.39,0.765,128.007,audio_features,2yAVzRiEQooPEJ9SYx11L3,spotify:track:2yAVzRiEQooPEJ9SYx11L3,https://api.spotify.com/v1/tracks/2yAVzRiEQooPEJ9SYx11L3,https://api.spotify.com/v1/audio-analysis/2yAVzRiEQooPEJ9SYx11L3,283748,4,Blue (Da Ba Dee),Eiffel 65,Jan 2000,3340.978,5
0.661,0.346,11,-9.115,1,0.03,0.452,0,0.131,0.256,129.752,audio_features,6mwA6YiKDjAUG8kWvRRUPh,spotify:track:6mwA6YiKDjAUG8kWvRRUPh,https://api.spotify.com/v1/tracks/6mwA6YiKDjAUG8kWvRRUPh,https://api.spotify.com/v1/audio-analysis/6mwA6YiKDjAUG8kWvRRUPh,263667,4,Back At One,Brian McKnight,Jan 2000,3281.531,6
0.695,0.945,10,-6.165,0,0.0418,0.00341,0.0727,0.103,0.84,125.013,audio_features,5yaCquc7koPqtgj7v0lwHX,spotify:track:5yaCquc7koPqtgj7v0lwHX,https://api.spotify.com/v1/tracks/5yaCquc7koPqtgj7v0lwHX,https://api.spotify.com/v1/audio-analysis/5yaCquc7koPqtgj7v0lwHX,246427,4,Waiting For Tonight,Jennifer Lopez,Jan 2000,3096.804,7
0.59,0.666,4,-4.047,0,0.0244,0.156,0,0.136,0.0743,104.042,audio_features,5gZEhPrN1VLqTG1nIAXeNK,spotify:track:5gZEhPrN1VLqTG1nIAXeNK,https://api.spotify.com/v1/tracks/5gZEhPrN1VLqTG1nIAXeNK,https://api.spotify.com/v1/audio-analysis/5gZEhPrN1VLqTG1nIAXeNK,263800,4,I Wanna Love You Forever,Jessica Simpson,Jan 2000,2891.413,8
0.727,0.445,1,-11.241,1,0.291,0.339,0,0.18,0.527,81.125,audio_features,7mYvtEeBdMqRSyj1Qpv6my,spotify:track:7mYvtEeBdMqRSyj1Qpv6my,https://api.spotify.com/v1/tracks/7mYvtEeBdMqRSyj1Qpv6my,https://api.spotify.com/v1/audio-analysis/7mYvtEeBdMqRSyj1Qpv6my,215467,4,Hot Boyz,"Missy 'Misdemeanor' Elliott, NAS & Eve",Jan 2000,2866.198,9
0.518,0.919,4,-4.721,0,0.0285,0.011,0.181,0.196,0.752,154.097,audio_features,26TpLkciA8vz3kAvSI5tHG,spotify:track:26TpLkciA8vz3kAvSI5tHG,https://api.spotify.com/v1/tracks/26TpLkciA8vz3kAvSI5tHG,https://api.spotify.com/v1/audio-analysis/26TpLkciA8vz3kAvSI5tHG,144173,4,I Need To Know,Marc Anthony,Jan 2000,2860.631,10
